color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Action,Adventure,Fantasy,SciFi,Thriller,Comedy,Romance,Animation,Western,Drama,Family,Mystery,Horror,Crime,Sport,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CCH Pounder,Avatar ,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,3054,English,USA,PG-13,237000000,2009,936,7.9,1.78,33000
Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,English,USA,PG-13,300000000,2007,5000,7.1,2.35,0
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Christoph Waltz,Spectre ,275868,11700,Stephanie Sigman,1,bomb|espionage|sequel|spy|terrorist,994,English,UK,PG-13,245000000,2015,393,6.8,2.35,85000
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,738,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,1902,English,USA,PG-13,258000000,2007,11000,6.2,2.35,0
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,387,English,USA,PG,260000000,2010,553,7.8,1.85,29000
Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,English,USA,PG-13,250000000,2015,21000,7.5,2.35,118000
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,58753,Rupert Grint,3,blood|book|love|potion|professor,973,English,UK,PG,250000000,2009,11000,7.5,2.35,10000
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,3018,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Color,Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0,crystal|epic|lex luthor|lois lane|return to earth,2367,English,USA,PG-13,209000000,2006,10000,6.1,2.35,0
